StichtagDatJahr,DatenstandCd,HalterId,AlterV10Cd,AlterV10Lang,AlterV10Sort,SexCd,SexLang,SexSort,KreisCd,KreisLang,KreisSort,QuarCd,QuarLang,QuarSort,Rasse1Text,Rasse2Text,RasseMischlingCd,RasseMischlingLang,RasseMischlingSort,RassentypCd,RassentypLang,RassentypSort,GebDatHundJahr,AlterVHundCd,AlterVHundLang,AlterVHundSort,SexHundCd,SexHundLang,SexHundSort,HundefarbeText,AnzHunde
2023,P,6469,50,50- bis 59-Jährige,6,1,männlich,1,11,Kreis 11,11,111,Affoltern,111,Mops,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2011,11,11-Jährige,11,1,männlich,1,beige,1
2023,P,6594,50,50- bis 59-Jährige,6,1,männlich,1,7,Kreis 7,7,72,Hottingen,72,Mops,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2021,1,1-Jährige,1,1,männlich,1,schoko,1
2023,P,6600,60,60- bis 69-Jährige,7,1,männlich,1,6,Kreis 6,6,63,Oberstrass,63,Shetland Sheepdog,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2012,10,10-Jährige,10,2,weiblich,2,tricolor,1
2023,P,6617,70,70- bis 79-Jährige,8,2,weiblich,2,12,Kreis 12,12,122,Schwamendingen-Mitte,122,Grosspudel,Keine,1,Rassehund,1,I,Rassentypenliste I,2,2019,3,3-Jährige,3,2,weiblich,2,weiss,1
2023,P,12409,70,70- bis 79-Jährige,8,1,männlich,1,9,Kreis 9,9,91,Albisrieden,91,Yorkshire Terrier,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2011,11,11-Jährige,11,1,männlich,1,braun/schwarz,1
2023,P,13376,60,60- bis 69-Jährige,7,1,männlich,1,11,Kreis 11,11,111,Affoltern,111,Jack Russel Terrier,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2021,1,1-Jährige,1,1,männlich,1,weiss/rot,1
2023,P,14550,80,80- bis 89-Jährige,9,1,männlich,1,12,Kreis 12,12,123,Hirzenbach,123,Biewer Yorkshire Terrier,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2015,7,7-Jährige,7,2,weiblich,2,tricolor,1
2023,P,15456,50,50- bis 59-Jährige,6,1,männlich,1,2,Kreis 2,2,21,Wollishofen,21,Chihuahua,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2010,12,12-Jährige,12,1,männlich,1,schwarz,1
2023,P,15456,50,50- bis 59-Jährige,6,1,männlich,1,2,Kreis 2,2,21,Wollishofen,21,Chihuahua,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2015,7,7-Jährige,7,2,weiblich,2,schwarz/weiss,1
2023,P,15530,999,Unbekannt,99,1,männlich,1,2,Kreis 2,2,21,Wollishofen,21,Mops,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2017,5,5-Jährige,5,1,männlich,1,weiss/beige,1
2023,P,15662,999,Unbekannt,99,1,männlich,1,9,Kreis 9,9,92,Altstetten,92,Yorkshire Terrier,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2021,1,1-Jährige,1,1,männlich,1,braun/schwarz,1
2023,P,18020,50,50- bis 59-Jährige,6,1,männlich,1,9,Kreis 9,9,92,Altstetten,92,Labrador Retriever,Keine,1,Rassehund,1,I,Rassentypenliste I,2,2011,11,11-Jährige,11,2,weiblich,2,schwarz,1
2023,P,18254,70,70- bis 79-Jährige,8,2,weiblich,2,11,Kreis 11,11,115,Oerlikon,115,Bolonka Zwetna,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2017,5,5-Jährige,5,1,männlich,1,weiss,1
2023,P,18416,60,60- bis 69-Jährige,7,1,männlich,1,7,Kreis 7,7,72,Hottingen,72,Zwergspitz,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2016,6,6-Jährige,6,1,männlich,1,weiss,1
